id,name
2055,Saudi Arabia-Fixed Riyad
2056,Saudi Arabia-Mobile Mobility
2057,Saudi Arabia-Mobile Others
2058,Saudi Arabia-Mobile Zain
2059,Saudi Arabia-OLO
2060,Senegal
2061,Senegal-Fixed Dakar
2062,Senegal-Fixed Expresso
2063,Senegal-Mobile Orange
2381,Senegal-Mobile Orange CP
2064,Senegal-Mobile Others
2065,Senegal-Mobile Sudatel
2066,Senegal-Mobile Tigo
2067,Serbia
2068,Serbia-Fixed Belgrade
2069,Serbia-Fixed IPKO
2070,Serbia-Fixed Kosovo
2071,Serbia-Fixed Orion
2072,Serbia-Mobile MTS
2073,Serbia-Mobile Others
2074,Serbia-Mobile Telenor
2075,Serbia-Mobile Topnet
2076,Serbia-Special Services
2077,Seychelles
2078,Seychelles-Mobile
2079,Seychelles-Special Services
2080,Sierra Leone
2081,Sierra Leone-Fixed Freetown
2082,Sierra Leone-Mobile Africell
